Fecha;Nombre;Teléfono;Correo electrónico;Precio desde;Ciudad
14/06/2023;;5,73E+11;Correo35@estrenar.com;280000000;Funza
14/06/2023;Nombre2;5,73E+11;Correo2@estrenar.com;168200000;Soacha
14/06/2023;Nombre3;5,73E+11;prueba@estrenar.com;197350800;Bogotá
14/06/2023;Nombre4;5,73E+11;Correo4@estrenar.com;530100000;Cali
14/06/2023;Nombre36;5,73E+11;Correo36@estrenar.com;224411650;Cajicá
14/06/2023;Nombre6;5,73E+11;Correo6@estrenar.com;175600000;Ricaurte
14/06/2023;Nombre7;5,73E+11;Correo7@estrenar.com;191860000;Cali
14/06/2023;Nombre8;5,73E+11;Correo8@estrenar.com;444475000;Bogotá
14/06/2023;Nombre9;5,73E+11;Correo9@estrenar.com;191860000;Cali
14/06/2023;Nombre10;5,73E+11;Correo10@estrenar.com;346617319;Cali
14/06/2023;Nombre11;5,73E+11;Correo11@estrenar.com;475600000;Bogotá
14/06/2023;Nombre42;5,73E+11;Correo42@estrenar.com;174000000;Funza
14/06/2023;Nombre13;5,73E+11;Correo13@estrenar.com;174000000;Cartagena
14/06/2023;Nombre62;5,73E+11;Correo62@estrenar.com;184000000;Bogotá
14/06/2023;Nombre69;5,73E+11;;180780000;Bogotá
14/06/2023;Nombre16;5,73E+11;Correo16@estrenar.com;174000000;Cartagena
14/06/2023;Nombre17;5,73E+11;Correo17@estrenar.com;185310000;Cartagena
14/06/2023;Nombre72;5,73E+11;Correo72@estrenar.com;180780000;Bogotá
14/06/2023;Nombre19;5,73E+11;Correo19@estrenar.com;533842000;Bucaramanga
14/06/2023;Nombre90;5,73E+11;Correo90@estrenar.com;120210000;Soledad
14/06/2023;Nombre21;5,73E+11;Correo21@estrenar.com;295955479;Cali
14/06/2023;Nombre96;5,73E+11;Correo96@estrenar.com;369231000;Cali
14/06/2023;Nombre20;5,73E+11;Correo20@estrenar.com;104400000;Barranquilla
14/06/2023;Nombre23;5,73E+11;prueba@estrenar.com;214000000;Cali
14/06/2023;Nombre25;5,73E+11;Correo25@estrenar.com;150000000;Bogotá
14/06/2023;Nombre24;5,73E+11;Correo24@estrenar.com;299936000;Bogotá
14/06/2023;Nombre27;5,73E+11;Correo27@estrenar.com;197100000;Soacha
14/06/2023;Nombre32;5,73E+11;;142100000;Cartagena
14/06/2023;Nombre29;5,73E+11;Correo29@estrenar.com;320697955;Jamundí
14/06/2023;Nombre30;5,73E+11;Correo30@estrenar.com;295955479;Cali
14/06/2023;Nombre31;5,73E+11;Correo31@estrenar.com;320697955;Jamundí
14/06/2023;Nombre81;5,73E+11;Correo81@estrenar.com;262499000;Bogotá
14/06/2023;Nombre33;5,73E+11;Correo33@estrenar.com;320697955;Jamundí
14/06/2023;Nombre34;5,73E+11;Correo34@estrenar.com;120680000;Barranquilla
14/06/2023;Nombre82;5,73E+11;Correo82@estrenar.com;323200000;Jamundí
14/06/2023;Nombre83;5,73E+11;Correo83@estrenar.com;211099000;Madrid
14/06/2023;Nombre37;5,73E+11;Correo37@estrenar.com;191860000;Cali
14/06/2023;Nombre38;5,73E+11;Correo38@estrenar.com;191860000;Cali
14/06/2023;Nombre39;5,73E+11;Correo39@estrenar.com;297086670;Ricaurte
14/06/2023;Nombre40;5,73E+11;Correo40@estrenar.com;174000000;Cartagena
14/06/2023;Nombre98;5,73E+11;prueba@estrenar.com;323200000;Jamundí
14/06/2023;Nombre1;5,73E+11;Correo1@estrenar.com;428580000;Bogotá
14/06/2023;Nombre43;5,73E+11;Correo43@estrenar.com;168400000;Mosquera
14/06/2023;Nombre44;5,73E+11;Correo44@estrenar.com;155440000;Soledad
14/06/2023;Nombre45;5,73E+11;Correo45@estrenar.com;525032375;Jamundí
14/06/2023;Nombre46;5,73E+11;Correo46@estrenar.com;159000000;Girón
14/06/2023;Nombre12;5,73E+11;Correo12@estrenar.com;325000000;Bogotá
14/06/2023;Nombre48;5,73E+11;Correo48@estrenar.com;185310000;Barranquilla
14/06/2023;Nombre49;5,73E+11;;162400000;Barranquilla
14/06/2023;Nombre50;5,73E+11;Correo50@estrenar.com;;
14/06/2023;Nombre51;5,73E+11;Correo51@estrenar.com;533842000;Bucaramanga
14/06/2023;Nombre77;5,73E+11;Correo77@estrenar.com;183299900;Bogotá
14/06/2023;Nombre53;5,73E+11;Correo53@estrenar.com;168200000;Barranquilla
14/06/2023;Nombre54;5,73E+11;Correo54@estrenar.com;197100000;Soacha
14/06/2023;Nombre55;5,73E+11;;168200000;Barranquilla
14/06/2023;Nombre56;5,73E+11;Correo56@estrenar.com;306395211;Ricaurte
14/06/2023;Nombre14;5,73E+11;Correo14@estrenar.com;104186250;Villavicencio
14/06/2023;Nombre18;5,73E+11;Correo18@estrenar.com;174000000;Funza
14/06/2023;Nombre59;5,73E+11;Correo59@estrenar.com;187920000;Barranquilla
14/06/2023;Nombre60;5,73E+11;prueba@estrenar.com;192599900;Bogotá
14/06/2023;Nombre61;5,73E+11;Correo61@estrenar.com;192599900;Bogotá
14/06/2023;Nombre22;5,73E+11;Correo22@estrenar.com;174000000;Zipaquirá
14/06/2023;Nombre26;5,73E+11;Correo26@estrenar.com;160210000;Bogotá
14/06/2023;Nombre28;5,73E+11;Correo28@estrenar.com;369231000;Cali
14/06/2023;Nombre65;5,73E+11;Correo65@estrenar.com;;
14/06/2023;Nombre66;5,73E+11;Correo66@estrenar.com;444475000;Bogotá
14/06/2023;Nombre67;5,73E+11;Correo67@estrenar.com;197100000;Soacha
14/06/2023;Nombre68;5,73E+11;Correo68@estrenar.com;197100000;Soacha
14/06/2023;Nombre41;5,73E+11;Correo41@estrenar.com;174000000;Funza
14/06/2023;Nombre70;5,73E+11;Correo70@estrenar.com;295955479;Cali
14/06/2023;Nombre47;5,73E+11;Correo47@estrenar.com;192599900;Bogotá
14/06/2023;Nombre57;5,73E+11;Correo57@estrenar.com;192599900;Bogotá
14/06/2023;Nombre58;5,73E+11;Correo58@estrenar.com;192599900;Bogotá
14/06/2023;Nombre74;5,73E+11;Correo74@estrenar.com;346617319;Cali
14/06/2023;;5,73E+11;Correo63@estrenar.com;174000000;Tocancipá
14/06/2023;Nombre76;;Correo76@estrenar.com;197100000;Soacha
14/06/2023;Nombre64;5,73E+11;Correo64@estrenar.com;192599900;Bogotá
14/06/2023;Nombre78;5,73E+11;Correo78@estrenar.com;174000000;Funza
14/06/2023;Nombre71;5,73E+11;Correo71@estrenar.com;297086670;Ricaurte
14/06/2023;Nombre80;5,73E+11;Correo80@estrenar.com;150000000;Bogotá
14/06/2023;Nombre73;5,73E+11;Correo73@estrenar.com;297086670;Ricaurte
14/06/2023;Nombre75;5,73E+11;Correo75@estrenar.com;297086670;Ricaurte
14/06/2023;Nombre79;5,73E+11;Correo79@estrenar.com;160210000;Bogotá
14/06/2023;Nombre84;5,73E+11;Correo84@estrenar.com;510000000;Bogotá
14/06/2023;;5,73E+11;prueba@estrenar.com;158000000;Bogotá
14/06/2023;Nombre86;5,73E+11;Correo86@estrenar.com;168000000;Puerto Colombia
14/06/2023;Nombre87;5,73E+11;Correo87@estrenar.com;174000000;Zipaquirá
14/06/2023;Nombre88;5,73E+11;Correo88@estrenar.com;217900000;Bogotá
14/06/2023;Nombre89;5,73E+11;Correo89@estrenar.com;530100000;Cali
14/06/2023;Nombre91;5,73E+11;Correo91@estrenar.com;117955391;Cali
14/06/2023;Nombre93;5,73E+11;Correo93@estrenar.com;192599900;Bogotá
14/06/2023;Nombre92;5,73E+11;Correo92@estrenar.com;160750000;Cartagena
14/06/2023;;5,73E+11;Correo95@estrenar.com;225000000;Cartagena
14/06/2023;Nombre94;;;444475000;Bogotá
14/06/2023;Nombre5;5,73E+11;Correo5@estrenar.com;369231000;Cali
